location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,z,z3,z5,internsity_normal
"Adiyaman","Adiyaman",7,38.9,38.5,3.94,4.375284,5.6426,38.9,38.9,0,5.745781
"Adiyaman","Adiyaman",6.5,38.6,36.5,1.4031,1.558112,4.6884,38.6,38.6,.01,4.780176
"Adiyaman","Adiyaman",7,39.35,36.95,3.0309,3.365748,5.3896,39.35,39.35,.01,5.489785
"Adiyaman","Adiyaman",6,39.3,38.65,.70059,.7779899,4.11,39.3,39.3,.01,4.193998
"Adiyaman","Adiyaman",7,39.1,36.95,3.3807,3.754194,5.494,39.1,39.1,.01,5.595491
"Adiyaman","Adiyaman",6.5,38.15,38.55,2.3087,2.563761,5.1347,38.15,38.15,0,5.231855
"Adiyaman","Adiyaman",7.5,38.1,36.95,7.201,7.996553,6.252,38.1,38.1,.01,6.361839
"Adiyaman","Adiyaman",7.5,37.25,37.6,7.1917,7.986225,6.2507,37.25,37.25,0,6.360477
"Adiyaman","Adiyaman",7.5,37.7,37.1,7.3394,8.150243,6.2719,37.7,37.7,0,6.381912
"Adiyaman","Adiyaman",6,38.75,37.35,1.6396,1.82074,4.8252,38.75,38.75,0,4.91864
"Adiyaman","Adiyaman",7,37.95,38.25,6.0444,6.712174,6.0711,37.95,37.95,0,6.179014
"Adiyaman","Adiyaman",7,37.6,38.65,3.4231,3.801278,5.5061,37.6,37.6,.01,5.607634
"Adiyaman","Adiyaman",6.5,37.6,36.6,1.4112,1.567107,4.6935,37.6,37.6,.01,4.785247
"Adiyaman","Adiyaman",6.5,38.1,38.3,3.3169,3.683345,5.4757,38.1,38.1,.01,5.576962
"Adiyaman","Adiyaman",8,39.2,38.6,9.2979,10.32511,6.5219,39.2,39.2,0,6.634513
"Adiyaman","Adiyaman",6.5,38.7,37.25,2.9711,3.299342,5.3706,38.7,38.7,0,5.470635
"Adiyaman","Adiyaman",6.5,38.9,37,1.9969,2.217514,5.0019,38.9,38.9,0,5.097558
"Adiyaman","Adiyaman",7,36.65,38.15,2.7052,3.004065,5.2821,36.65,36.65,0,5.3811
"Adiyaman","Adiyaman",7.5,37.85,37.55,12.72,14.12528,6.8622,37.85,37.85,.01,6.978292
"Adiyaman","Adiyaman",8,37.25,36.95,9.03,10.02762,6.4907,37.25,37.25,0,6.602971
"Adiyaman","Adiyaman",6.5,39.5,37.35,1.7229,1.913243,4.8693,39.5,39.5,0,4.963229
"Adiyaman","Adiyaman",8,39.75,38.2,8.6015,9.551777,6.4389,39.75,39.75,0,6.55072
"Adiyaman","Adiyaman",6.5,38,37.4,4.2925,4.766727,5.7269,38,38,0,5.830978
"Adiyaman","Adiyaman",8,39.55,36.95,8.3277,9.247728,6.4047,39.55,39.55,.01,6.51609
"Adiyaman","Adiyaman",6.5,39,38.45,2.0478,2.274037,5.0248,39,39,0,5.120697
"Adiyaman","Adiyaman",6,38.45,37,1.1345,1.259837,4.5061,38.45,38.45,0,4.595421
"Adiyaman","Adiyaman",7,36.95,37,2.7722,3.078468,5.3051,36.95,36.95,0,5.404374
"Adiyaman","Adiyaman",6,38.85,36.9,.87711,.9740115,4.2916,38.85,38.85,.01,4.378079
"Adiyaman","Adiyaman",8,37.5,38.25,11.779,13.08032,6.7777,37.5,37.5,0,6.893022
"Adiyaman","Adiyaman",8,39.25,38.35,10.208,11.33576,6.6222,39.25,39.25,0,6.735868
"Adiyaman","Adiyaman",8,39.85,37.9,8.5542,9.499252,6.4331,39.85,39.85,.01,6.544809
"Adiyaman","Adiyaman",7.5,36.95,37.6,5.9108,6.563814,6.0483,36.95,36.95,0,6.155909
"Adiyaman","Adiyaman",7.5,39.4,37.35,6.2892,6.984019,6.1119,39.4,39.4,0,6.220186
"Adiyaman","Adiyaman",7.5,36.7,37.6,5.1707,5.741949,5.9126,36.7,36.7,0,6.018722
"Adiyaman","Adiyaman",7.5,38.8,38.15,9.7489,10.82594,6.5726,38.8,38.8,.01,6.685807
"Adiyaman","Adiyaman",6.5,39,37.8,3.1959,3.548977,5.4401,39,39,0,5.54093
"Adiyaman","Adiyaman",8,38.4,37.05,12.407,13.7777,6.8347,38.4,38.4,0,6.950582
"Adiyaman","Adiyaman",6,37,38.4,.70505,.7829426,4.115,37,37,0,4.199123
